resource_unit,EC-(mS/m),pH-Diss-Water (PH),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),TAL CaCO3 (mg/L),Cl (mg/L),SO4 (mg/L),F (mg/L)
GRU1,166.34,7.86,82.09,68.82,164.39,12.24,236.98,255.73,182.68,1.02
GRU10.1,749.01,8.24,101.19,47.69,1820.35,17.07,776.61,1780.07,1042.96,3.57
GRU10.2,479.82,7.94,159.16,68.55,898.14,16.42,329.1,1186.31,554.24,3.14
GRU2,359.04,7.98,204.22,66.94,514.08,14.21,220.35,780.1,523.15,3.37
GRU3,521.07,7.93,271.02,103.67,711.79,31.74,150.44,1378.69,506.49,2.43
GRU4.1,186.41,8.13,97.63,43.83,241.73,9.49,141.52,452.13,156.9,0.65
GRU4.2,544.03,7.76,157.13,133.2,862.96,28.7,144.77,1671.46,326.79,0.98
GRU6.1,146.83,8.1,61.13,52.35,139.1,4.0,233.5,203.5,148.54,1.03
GRU6.2,224.0,8.06,70.91,62.32,470.73,6.27,274.27,638.75,252.75,0.95
GRU6.3,266.59,7.83,108.29,95.95,389.58,8.86,213.41,692.44,261.7,0.6
GRU7.1,122.53,8.07,84.24,41.79,122.19,3.66,266.37,149.49,142.11,1.17
GRU7.2,307.79,8.01,134.93,63.02,570.24,5.48,248.51,940.11,248.63,1.36
GRU7.3,711.04,8.12,240.63,273.34,1376.46,11.58,252.46,2173.13,1300.66,1.76
GRU7.4,129.61,8.05,90.84,36.3,128.62,2.92,239.16,192.69,129.26,1.23
GRU7.5,432.35,8.03,137.08,132.76,769.36,10.8,259.79,1282.78,497.02,1.89
GRU7.6,520.27,7.89,230.86,119.11,787.08,22.35,242.89,1132.56,794.33,2.21
GRU7.7,349.29,7.74,142.55,72.12,555.28,14.38,246.98,800.54,448.64,3.17
GRU8.1,263.62,7.68,125.11,83.34,299.72,8.29,123.47,716.5,163.16,1.93
GRU8.2,548.69,7.55,182.27,151.97,801.73,21.49,128.84,1696.79,293.1,5.18
GRU8.3,796.43,7.76,266.44,164.07,1298.21,43.77,133.06,2675.87,316.59,1.29
GRU9.3,87.47,8.16,70.12,47.87,31.0,5.25,303.76,48.02,32.65,0.34
